timestamp,type,mttr_sec,resolved_by
2026-03-02 00:58:38,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 01:16:29,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 01:27:03,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 02:18:21,HARDWARE_FAILURE,4800.05,L2_Support_Engineer
2026-03-02 02:58:35,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 03:51:47,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 04:39:30,HARDWARE_FAILURE,4800.05,L2_Support_Engineer
2026-03-02 05:50:49,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 11:06:52,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 11:47:08,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 13:17:44,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 13:39:55,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 16:33:57,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 18:53:28,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 19:27:32,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 19:44:16,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 20:43:55,HARDWARE_FAILURE,4800.05,L2_Support_Engineer
2026-03-02 21:39:17,HARDWARE_FAILURE,4800.05,L2_Support_Engineer
2026-03-02 22:06:44,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-02 22:11:14,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 00:51:51,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 00:59:43,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 01:04:40,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 01:12:57,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 02:32:15,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 02:44:47,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 03:00:06,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 03:09:57,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 05:45:38,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 06:47:28,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 09:49:53,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 13:26:55,HARDWARE_FAILURE,4800.05,L2_Support_Engineer
2026-03-03 14:20:29,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 14:25:30,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
2026-03-03 14:40:29,SOFTWARE_FREEZE,2700.05,L2_Support_Engineer
